                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
11/09/14  2:45a   59.6   60.6   59.6    16   13.3   2.0    SE  0.17   6.0    SE   59.6   54.9   54.9   51.4   829.7  0.00  0.00     0     0.00      0     0.019   0.000   73.6    10   13.6   69.3   2.41  .0607    0.000   117    1    100.0    5 
11/09/14  2:50a   58.9   59.6   58.9    17   14.1   3.0   SSE  0.25   6.0   SSE   58.9   54.3   54.3   50.8   829.9  0.00  0.00     0     0.00      0     0.021   0.000   73.6    10   13.6   69.3   2.41  .0607    0.000   117    1    100.0    5 
11/09/14  2:55a   58.1   58.9   58.1    17   13.4   2.0   ESE  0.17   6.0   ESE   58.1   53.7   53.7   50.2   829.8  0.00  0.00     0     0.00      0     0.024   0.000   73.8    10   13.8   69.6   2.40  .0607    0.000   117    1    100.0    5 
11/09/14  3:00a   58.1   58.1   58.0    17   13.4   2.0   ESE  0.17   5.0   SSW   58.1   53.7   53.7   50.2   829.8  0.00  0.00     0     0.00      0     0.024   0.000   73.8    10   13.8   69.6   2.40  .0607    0.004   118    1    100.0    5 
11/09/14  3:05a   58.1   58.2   58.1    18   14.8   2.0   SSE  0.17   6.0   SSE   58.1   53.8   53.8   50.3   829.7  0.00  0.00     0     0.00      0     0.024   0.000   73.6    10   13.6   69.3   2.41  .0607    0.000   117    1    100.0    5 
11/09/14  3:10a   57.9   58.1   57.9    18   14.6   0.0   SSE  0.00   1.0   SSE   57.9   53.6   53.6   50.1   829.8  0.00  0.00     0     0.00      0     0.025   0.000   73.6    10   13.6   69.3   2.41  .0607    0.000   117    1    100.0    5 
11/09/14  3:15a   57.7   57.9   57.7    18   14.4   1.0   SSE  0.08   4.0   SSE   57.7   53.4   53.4   49.9   829.9  0.00  0.00     0     0.00      0     0.025   0.000   73.6    11   15.8   69.4   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  3:20a   57.3   57.7   57.3    18   14.1   2.0   SSE  0.17   5.0   SSE   57.3   53.1   53.1   49.6   829.8  0.00  0.00     0     0.00      0     0.027   0.000   74.0    11   16.1   69.9   2.67  .0607    0.000   117    1    100.0    5 
11/09/14  3:25a   57.2   57.3   57.1    18   14.0   2.0   SSE  0.17   4.0   SSE   57.2   53.0   53.0   49.5   829.7  0.00  0.00     0     0.00      0     0.027   0.000   74.0    11   16.1   69.9   2.67  .0607    0.000   117    1    100.0    5 
11/09/14  3:30a   57.2   57.2   57.1    18   14.0   2.0   SSE  0.17   4.0   SSE   57.2   53.0   53.0   49.5   829.7  0.00  0.00     0     0.00      0     0.027   0.000   73.6    11   15.8   69.4   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  3:35a   57.2   57.2   57.1    18   14.0   1.0    SE  0.08   4.0   SSE   57.2   53.0   53.0   49.5   829.8  0.00  0.00     0     0.00      0     0.027   0.000   73.6    11   15.8   69.4   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  3:40a   57.4   57.4   57.2    19   15.4   1.0    SE  0.08   4.0    SE   57.4   53.3   53.3   49.9   829.6  0.00  0.00     0     0.00      0     0.026   0.000   73.8    11   15.9   69.7   2.67  .0607    0.000   117    1    100.0    5 
11/09/14  3:45a   57.3   57.3   57.3    22   18.7   1.0    SE  0.08   5.0   WNW   57.3   53.3   53.3   49.9   829.5  0.00  0.00     0     0.00      0     0.027   0.000   73.8    11   15.9   69.7   2.67  .0607    0.000   117    1    100.0    5 
11/09/14  3:50a   57.0   57.3   57.0    22   18.5   1.0   WNW  0.08   4.0   WNW   57.0   53.1   53.1   49.7   829.6  0.00  0.00     0     0.00      0     0.028   0.000   73.5    11   15.7   69.3   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  3:55a   56.6   56.9   56.6    23   19.2   1.0     W  0.08   2.0     W   56.6   52.8   52.8   49.5   829.7  0.00  0.00     0     0.00      0     0.029   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  4:00a   56.3   56.6   56.3    21   16.8   0.0     W  0.00   1.0     W   56.3   52.5   52.5   49.1   829.4  0.00  0.00     0     0.00      0     0.030   0.000   73.8    12   18.0   69.8   2.95  .0606    0.003   117    1    100.0    5 
11/09/14  4:05a   55.6   56.3   55.6    22   17.3   2.0   WSW  0.17   5.0   WSW   55.6   52.0   52.0   48.6   829.4  0.00  0.00     0     0.00      0     0.033   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
